index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
0,Bert-Large,WikiText,2,256/16,0.78,NA,"10,14",Empty,NA,0,0,0.0
1,Bert-Large,WikiText,2,256/16,0.71,NA,"8,16",Empty,NA,0,0,0.0
2,Bert-Large,WikiText,2,256/16,0.64,NA,"6,18",Empty,NA,0,0,0.0
3,Bert-Large,WikiText,2,256/16,0.88,NA,"12,12",Empty,NA,0,0,0.0
4,Bert-Large,WikiText,2,256/16,0.97,NA,"14,10",Empty,NA,0,0,0.0
5,Bert-Large,WikiText,2,256/16,0.89,NA,"16,8",Empty,NA,0,0,0.0
6,Bert-Large,WikiText,2,256/16,0.81,NA,"18,6",Empty,NA,0,0,0.0
7,Bert-Large,WikiText,4,256/16,0.67,NA,"6,6,6,6",Empty,NA,0,0,0.0
8,Bert-Large,WikiText,4,256/16,0.69,NA,"4,8,8,4",Empty,NA,0,0,0.0
9,Bert-Large,WikiText,4,256/16,0.66,NA,"2,8,8,6",Empty,NA,0,0,0.0
10,Bert-Large,WikiText,4,256/16,0.65,NA,"2,10,10,2",Empty,NA,0,0,0.0
11,GPT2-Medium,WikiText,2,512/8,0.78,NA,"10,14",Empty,NA,0,0,0.0
12,GPT2-Medium,WikiText,2,512/8,0.7,NA,"8,16",Empty,NA,0,0,0.0
13,GPT2-Medium,WikiText,2,512/8,0.64,NA,"6,18",Empty,NA,0,0,0.0
14,GPT2-Medium,WikiText,2,512/8,0.89,NA,"12,12",Empty,NA,0,0,0.0
15,GPT2-Medium,WikiText,2,512/8,0.96,NA,"14,10",Empty,NA,0,0,0.0
16,GPT2-Medium,WikiText,2,512/8,0.85,NA,"16,8",Empty,NA,0,0,0.0
17,GPT2-Medium,WikiText,2,512/8,0.76,NA,"18,6",Empty,NA,0,0,0.0
18,GPT2-Medium,WikiText,4,512/8,0.71,NA,"6,6,6,6",Empty,NA,0,0,0.0
19,GPT2-Medium,WikiText,4,512/8,0.82,NA,"4,8,8,4",Empty,NA,0,0,0.0
20,GPT2-Medium,WikiText,4,512/8,0.71,NA,"2,8,8,6",Empty,NA,0,0,0.0
21,GPT2-Medium,WikiText,4,512/8,0.67,NA,"2,10,10,2",Empty,NA,0,0,0.0
22,Bert-Large,WikiText,2,256/32,0.73,NA,TP24,Empty,NA,0,0,0.0
23,Bert-Large,WikiText,4,256/64,0.65,NA,TP24,Empty,NA,0,0,0.0
24,GPT2-Medium,WikiText,2,512/16,0.76,NA,TP24,Empty,NA,0,0,0.0
25,GPT2-Medium,WikiText,4,512/32,0.67,NA,TP24,Empty,NA,0,0,0.0
26,Bert-Large,WikiText,2,256/16,1.0,NA,DP24,Empty,NA,0,0,0.0
27,Bert-Large,WikiText,4,256/16,1.0,NA,DP24,Empty,NA,0,0,0.0
28,GPT2-Medium,WikiText,2,512/8,1.0,NA,DP24,Empty,NA,0,0,0.0
29,GPT2-Medium,WikiText,4,512/8,1.0,NA,DP24,Empty,NA,0,0,0.0
30,Bert-Large,WikiText,2,256/16,0.61,"0,1","10,14",resnet50,ImageNet,2,32,0.6
31,Bert-Large,WikiText,2,256/16,0.48,"0,1","10,14",resnet50,ImageNet,2,64,0.72
32,Bert-Large,WikiText,2,256/16,0.43,"0,1","10,14",resnet50,ImageNet,2,128,0.84
33,Bert-Large,WikiText,2,256/16,0.35,"0,1","10,14",vgg19,ImageNet,2,32,0.79
